127.0.0.1 - - [12/Jan/2017:11:09:46 +0100] "GET / HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:49 +0100] "GET /mesCourses/ HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:50 +0100] "GET /MesCoursesPrimefaces/faces/index.xhtml HTTP/1.1" 200 19248
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:51 +0100] "GET /MesCoursesPrimefaces/faces/javax.faces.resource/core.js;jsessionid=DF3FBC50B68F04BB517C6E73349C0DB6?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:51 +0100] "GET /MesCoursesPrimefaces/faces/javax.faces.resource/jquery/jquery.js;jsessionid=DF3FBC50B68F04BB517C6E73349C0DB6?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:51 +0100] "GET /MesCoursesPrimefaces/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=DF3FBC50B68F04BB517C6E73349C0DB6?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:51 +0100] "GET /MesCoursesPrimefaces/faces/javax.faces.resource/components.js;jsessionid=DF3FBC50B68F04BB517C6E73349C0DB6?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:51 +0100] "GET /MesCoursesPrimefaces/faces/javax.faces.resource/components.css;jsessionid=DF3FBC50B68F04BB517C6E73349C0DB6?ln=primefaces&v=6.0 HTTP/1.1" 200 75557
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:51 +0100] "GET /MesCoursesPrimefaces/faces/javax.faces.resource/img/Icons/loader.gif;jsessionid=DF3FBC50B68F04BB517C6E73349C0DB6 HTTP/1.1" 200 41726
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:51 +0100] "GET /MesCoursesPrimefaces/faces/javax.faces.resource/img/underConstruct.jpg;jsessionid=DF3FBC50B68F04BB517C6E73349C0DB6 HTTP/1.1" 200 225363
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:09:52 +0100] "GET /favicon.ico HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:06:57 +0100] "GET /MesCoursesPrimefaces/faces/pagesWeb/produit.xhtml;jsessionid=DF3FBC50B68F04BB517C6E73349C0DB6 HTTP/1.1" 200 175693
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:07:18 +0100] "GET /MesCoursesPrimefaces/faces/pagesWeb/enseigne.xhtml HTTP/1.1" 200 45527
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:07:58 +0100] "GET /mesCourses/produit/index;jsessionid=9B37B6845FFCBC41221BCF973E6F4618 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:07:59 +0100] "GET /mesCourses/connexion HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:08:03 +0100] "POST /mesCourses/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:08:05 +0100] "GET /mesCourses/produit/index;jsessionid=9B37B6845FFCBC41221BCF973E6F4618 HTTP/1.1" 200 7836
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:08:05 +0100] "GET /mesCourses/produit/photoProduit?idProd=5 HTTP/1.1" 200 26766
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:08:05 +0100] "GET /mesCourses/produit/photoProduit?idProd=7 HTTP/1.1" 200 27288
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:08:05 +0100] "GET /mesCourses/produit/photoProduit?idProd=6 HTTP/1.1" 200 27655
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:08:05 +0100] "GET /mesCourses/produit/photoProduit?idProd=8 HTTP/1.1" 200 6454
